account_id,customer_id,tenure_months,num_referrals,has_internet_service,internet_type,has_unlimited_data,has_phone_service,has_multiple_lines,has_premium_tech_support,has_online_security,has_online_backup,has_device_protection,contract_type,paperless_billing,payment_method,account_id,avg_long_distance_fee_monthly,total_long_distance_fee,avg_gb_download_monthly,stream_tv,stream_movie,stream_music,total_monthly_fee,total_charges_quarter,total_refunds,customer_id,customer_status,churn_label,churn_category,churn_reason,customer_id,gender,age,senior_citizen,married,num_dependents,zip_code,area_id,zip_code,city_name,latitude,longitude,population
ADKI-PEMCS,2091-RFFBA,31,0,Yes,"Fiber Optic",Yes,Yes,Yes,No,No,No,No,Month-to-Month,Yes,"Bank Withdrawal",ADKI-PEMCS,15.43,478.33,2,No,No,No,73.9,2217.15,0,2091-RFFBA,Churned,Yes,Attitude,"Attitude of support person",2091-RFFBA,Female,70,Yes,No,0,94569,973,94569,"Port Costa",38.0357,-122.197,173
ADRM-SVMYA,3426-NIYYL,15,0,Yes,DSL,No,Yes,Yes,No,No,No,No,Month-to-Month,No,"Bank Withdrawal",ADRM-SVMYA,3.15,47.25,26,No,No,No,51.55,765.5,0,3426-NIYYL,Churned,Yes,Attitude,"Attitude of support person",3426-NIYYL,Male,47,No,No,0,94965,1053,94965,Sausalito,37.8486,-122.516,11213
ADZJ-IEPGE,1415-YFWLT,1,0,Yes,"Fiber Optic",Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,"Bank Withdrawal",ADZJ-IEPGE,30.23,30.23,30,Yes,Yes,No,89.3,89.3,0,1415-YFWLT,Churned,Yes,Competitor,"Competitor had better devices",1415-YFWLT,Female,68,Yes,No,0,93664,813,93664,"Shaver Lake",37.223,-119.001,642
AEAR-NKQQU,2576-HXMPA,1,0,No,None,No,Yes,No,No,No,No,No,Month-to-Month,No,"Credit Card",AEAR-NKQQU,8.23,8.23,0,No,No,No,19.55,19.55,0,2576-HXMPA,Joined,No,NULL,NULL,2576-HXMPA,Female,30,No,No,0,95519,1288,95519,Mckinleyville,40.965,-124.015,15921
AEAR-OJGZU,3359-DSRKA,58,9,No,None,No,Yes,No,No,No,No,No,"Two Year",Yes,"Credit Card",AEAR-OJGZU,11.81,684.98,0,No,No,No,19.85,1158.85,0,3359-DSRKA,Stayed,No,NULL,NULL,3359-DSRKA,Female,48,No,Yes,3,96085,1578,96085,"Scott Bar",41.738,-123.076,88
AEKV-YJJYC,1320-REHCS,52,0,Yes,"Fiber Optic",Yes,Yes,Yes,Yes,No,Yes,Yes,"Two Year",Yes,"Bank Withdrawal",AEKV-YJJYC,23.04,1198.08,25,Yes,Yes,Yes,110.75,5832,6.26,1320-REHCS,Stayed,No,NULL,NULL,1320-REHCS,Male,75,Yes,No,0,90301,97,90301,Inglewood,33.9564,-118.359,37527
AEUA-TAESQ,2176-LVPNX,71,0,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,"Two Year",No,"Credit Card",AEUA-TAESQ,37.39,2654.69,22,Yes,Yes,No,89.85,6293.45,0,2176-LVPNX,Stayed,No,NULL,NULL,2176-LVPNX,Female,69,Yes,No,0,95113,1096,95113,"San Jose",37.3339,-121.891,561
AFCP-AGGFB,3831-YCPUO,72,3,Yes,"Fiber Optic",Yes,Yes,No,Yes,Yes,Yes,Yes,"Two Year",Yes,"Credit Card",AFCP-AGGFB,32.23,2320.56,19,Yes,Yes,Yes,109.5,7854.9,0,3831-YCPUO,Stayed,No,NULL,NULL,3831-YCPUO,Female,38,No,Yes,1,95232,1143,95232,Glencoe,38.3585,-120.579,21
AFEO-XOOCP,0014-BMAQU,63,8,Yes,"Fiber Optic",No,Yes,Yes,Yes,Yes,No,No,"Two Year",Yes,"Credit Card",AFEO-XOOCP,12.96,816.48,7,No,No,No,84.65,5377.8,0,0014-BMAQU,Stayed,No,NULL,NULL,0014-BMAQU,Male,52,No,Yes,0,94558,963,94558,Napa,38.4898,-122.27,63947
AFHO-LCFIG,3638-VBZTA,68,0,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No,"Two Year",Yes,"Bank Withdrawal",AFHO-LCFIG,11.5,782,29,Yes,Yes,Yes,86.5,5882.75,0,3638-VBZTA,Stayed,No,NULL,NULL,3638-VBZTA,Male,62,No,No,0,91706,242,91706,"Baldwin Park",34.0983,-117.967,76890
AFKF-DLQEA,0428-AXXLJ,25,0,No,None,No,Yes,No,No,No,No,No,"One Year",Yes,"Bank Withdrawal",AFKF-DLQEA,3.58,89.5,0,No,No,No,19.5,516.3,0,0428-AXXLJ,Stayed,No,NULL,NULL,0428-AXXLJ,Male,29,No,No,0,90706,132,90706,Bellflower,33.8877,-118.127,72893
AFPP-JXMIC,3646-ITDGM,56,0,No,None,No,Yes,No,No,No,No,No,"Two Year",No,"Bank Withdrawal",AFPP-JXMIC,32.88,1841.28,0,No,No,No,19.7,1051.9,0,3646-ITDGM,Stayed,No,NULL,NULL,3646-ITDGM,Female,42,No,No,0,95822,1434,95822,Sacramento,38.5126,-121.495,44683
AFWE-HDSOX,4312-KFRXN,72,2,No,None,No,Yes,Yes,No,No,No,No,"Two Year",No,"Credit Card",AFWE-HDSOX,34.29,2468.88,0,No,No,No,25.4,1710.9,0,4312-KFRXN,Stayed,No,NULL,NULL,4312-KFRXN,Male,61,No,Yes,0,93426,705,93426,Bradley,35.8429,-121.005,1363
AGDJ-KWXRZ,2088-IEBAU,68,0,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Two Year",Yes,"Bank Withdrawal",AGDJ-KWXRZ,21.82,1483.76,2,Yes,Yes,Yes,88.15,6148.45,36.29,2088-IEBAU,Stayed,No,NULL,NULL,2088-IEBAU,Female,63,No,No,0,92064,336,92064,Poway,32.9844,-117.013,47969
AGOK-EXYMU,2108-XWMPY,3,0,Yes,DSL,Yes,No,No,No,Yes,Yes,No,Month-to-Month,Yes,"Credit Card",AGOK-EXYMU,0,0,85,No,No,No,35.45,106.85,0,2108-XWMPY,Churned,NULL,Other,Moved,2108-XWMPY,Male,29,No,No,0,92230,390,92230,Cabazon,33.9298,-116.761,2355
AGRZ-LTGHP,3902-FOIGH,12,1,Yes,"Fiber Optic",Yes,Yes,Yes,No,No,Yes,No,Month-to-Month,Yes,"Bank Withdrawal",AGRZ-LTGHP,48.5,582,4,Yes,Yes,No,101.35,1218.55,0,3902-FOIGH,Churned,Yes,Dissatisfaction,"Product dissatisfaction",3902-FOIGH,Male,66,Yes,Yes,0,96109,1596,96109,Doyle,40.0127,-120.102,1177
AGXX-KUFPK,1565-RHDJD,4,0,Yes,"Fiber Optic",Yes,Yes,Yes,No,No,Yes,Yes,Month-to-Month,No,"Bank Withdrawal",AGXX-KUFPK,41.72,166.88,69,No,No,Yes,84.05,333.55,0,1565-RHDJD,Churned,Yes,Competitor,"Competitor offered higher download speeds",1565-RHDJD,Female,21,No,No,0,96073,1572,96073,"Palo Cedro",40.5824,-122.196,4931
AHDR-OUQUJ,0196-JTUQI,9,0,Yes,"Fiber Optic",Yes,Yes,Yes,No,No,No,No,Month-to-Month,Yes,"Credit Card",AHDR-OUQUJ,9.27,83.43,28,No,No,No,75.2,633.85,0,0196-JTUQI,Stayed,No,NULL,NULL,0196-JTUQI,Female,59,No,No,0,95612,1336,95612,Clarksburg,38.3846,-121.579,1417
AHLW-TGLOA,3963-RYFNS,72,0,Yes,"Fiber Optic",No,Yes,Yes,Yes,Yes,Yes,Yes,"Two Year",Yes,"Bank Withdrawal",AHLW-TGLOA,48.52,3493.44,51,Yes,Yes,Yes,116.45,8013.55,0,3963-RYFNS,Stayed,No,NULL,NULL,3963-RYFNS,Female,25,No,No,0,90291,94,90291,Venice,33.9918,-118.479,31021
AIET-SRNXM,1709-EJDOX,47,10,No,None,No,Yes,No,No,No,No,No,"Two Year",No,"Credit Card",AIET-SRNXM,41.54,1952.38,0,No,No,No,19.75,948.9,0,1709-EJDOX,Stayed,No,NULL,NULL,1709-EJDOX,Female,33,No,Yes,3,94134,915,94134,"San Francisco",37.7211,-122.414,40137
AIKX-RZPVA,3584-WKTTW,51,2,Yes,"Fiber Optic",Yes,Yes,Yes,Yes,Yes,No,Yes,"One Year",Yes,"Bank Withdrawal",AIKX-RZPVA,39.32,2005.32,76,Yes,Yes,Yes,111.55,5720.35,0,3584-WKTTW,Stayed,No,NULL,NULL,3584-WKTTW,Male,23,No,Yes,0,96094,1586,96094,Weed,41.4651,-122.381,5896
AIMU-YHUSB,4124-MMETB,22,0,Yes,"Fiber Optic",No,Yes,Yes,No,No,No,No,Month-to-Month,Yes,"Credit Card",AIMU-YHUSB,46.28,1018.16,16,Yes,Yes,Yes,94.65,2104.55,0,4124-MMETB,Churned,Yes,Competitor,"Competitor offered higher download speeds",4124-MMETB,Male,52,No,No,0,93932,849,93932,Lockwood,35.9898,-121.056,538
AIPP-VTDXJ,0019-EFAEP,72,0,Yes,"Fiber Optic",Yes,Yes,Yes,No,Yes,Yes,Yes,"Two Year",Yes,"Bank Withdrawal",AIPP-VTDXJ,2.25,162,16,Yes,No,No,101.3,7261.25,0,0019-EFAEP,Stayed,No,NULL,NULL,0019-EFAEP,Female,32,No,No,0,91942,303,91942,"La Mesa",32.7825,-117.016,24005
AJBQ-PQTIO,3951-NJCVI,42,10,Yes,"Fiber Optic",No,Yes,Yes,No,No,No,No,"One Year",Yes,"Bank Withdrawal",AJBQ-PQTIO,42.29,1776.18,10,Yes,Yes,No,95.05,3944.5,0,3951-NJCVI,Stayed,No,NULL,NULL,3951-NJCVI,Female,76,Yes,Yes,0,92234,393,92234,"Cathedral City",33.8296,-116.474,43141
AJHQ-UGVZV,0362-ZBZWJ,36,0,Yes,"Fiber Optic",Yes,Yes,Yes,No,No,No,No,Month-to-Month,Yes,"Bank Withdrawal",AJHQ-UGVZV,24.66,887.76,22,No,Yes,Yes,84.9,3067.2,0,0362-ZBZWJ,Churned,Yes,Attitude,"Attitude of service provider",0362-ZBZWJ,Male,46,No,No,0,95686,1395,95686,Thornton,38.1578,-121.52,1472
AJOU-QQPZA,0839-JTCUD,66,9,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Two Year",No,"Credit Card",AJOU-QQPZA,36.36,2399.76,3,Yes,Yes,Yes,89.9,5958.85,0,0839-JTCUD,Stayed,No,NULL,NULL,0839-JTCUD,Female,31,No,Yes,0,92691,559,92691,"Mission Viejo",33.6119,-117.666,46371
AJSM-GBZWP,3061-BCKYI,14,0,No,None,No,Yes,No,No,No,No,No,Month-to-Month,No,"Credit Card",AJSM-GBZWP,43.5,609,0,No,No,No,19.9,283.75,0,3061-BCKYI,Stayed,No,NULL,NULL,3061-BCKYI,Male,27,No,No,0,92276,420,92276,"Thousand Palms",33.8493,-116.383,6242
AJTG-RGRBN,1346-PJWTK,61,1,Yes,"Fiber Optic",Yes,Yes,No,Yes,No,Yes,Yes,Month-to-Month,No,"Credit Card",AJTG-RGRBN,17.73,1081.53,2,No,Yes,Yes,94.15,5731.85,0,1346-PJWTK,Stayed,No,NULL,NULL,1346-PJWTK,Male,63,No,Yes,0,92880,598,92880,Corona,33.918,-117.618,16998
AKDY-OWUCS,2026-TGDHM,7,0,Yes,"Fiber Optic",No,Yes,No,No,No,No,No,Month-to-Month,Yes,"Bank Withdrawal",AKDY-OWUCS,19.21,134.47,16,No,Yes,Yes,79.3,523.15,0,2026-TGDHM,Churned,Yes,Competitor,"Competitor had better devices",2026-TGDHM,Female,54,No,No,0,95425,1235,95425,Cloverdale,38.8019,-122.939,9210
AKHG-BKCPI,0394-YONDK,70,0,No,None,No,Yes,Yes,No,No,No,No,"Two Year",No,"Credit Card",AKHG-BKCPI,1.22,85.4,0,No,No,No,25.15,1790.15,0,0394-YONDK,Stayed,No,NULL,NULL,0394-YONDK,Male,28,No,Yes,3,92025,322,92025,Escondido,33.0815,-117.034,49281
AKJX-SJSCD,1133-KXCGE,18,0,No,None,No,Yes,No,No,No,No,No,"One Year",No,"Mailed Check",AKJX-SJSCD,18.8,338.4,0,No,No,No,20.1,407.05,0,1133-KXCGE,Stayed,No,NULL,NULL,1133-KXCGE,Female,38,No,No,0,93552,760,93552,Palmdale,34.5577,-118.029,25370
AKMA-IEZLD,0928-JMXNP,4,3,Yes,DSL,Yes,No,No,No,No,No,Yes,"Two Year",Yes,"Bank Withdrawal",AKMA-IEZLD,0,0,5,No,No,No,29.9,118.25,0,0928-JMXNP,Stayed,No,NULL,NULL,0928-JMXNP,Male,78,Yes,Yes,0,96055,1559,96055,"Los Molinos",40.0594,-122.091,3756
AKUI-DLIRV,0727-IWKVK,9,0,Yes,"Fiber Optic",Yes,Yes,No,No,No,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",AKUI-DLIRV,19.18,172.62,27,No,No,No,79.9,741.7,0,0727-IWKVK,Churned,Yes,Price,"Extra data charges",0727-IWKVK,Male,35,No,Yes,0,92398,476,92398,Yermo,35.0133,-116.834,1195
ALEA-UWZYK,2740-JFBOK,10,0,No,None,No,Yes,Yes,No,No,No,No,Month-to-Month,Yes,"Bank Withdrawal",ALEA-UWZYK,3.01,30.1,0,No,No,No,24,226.55,0,2740-JFBOK,Stayed,No,NULL,NULL,2740-JFBOK,Male,35,No,No,0,90713,135,90713,Lakewood,33.8478,-118.113,27563
ALIC-SGOWO,3258-SANFR,6,0,Yes,DSL,Yes,Yes,No,No,No,No,No,Month-to-Month,No,"Credit Card",ALIC-SGOWO,19.74,118.44,7,No,No,No,44.7,276.5,0,3258-SANFR,Stayed,No,NULL,NULL,3258-SANFR,Male,69,Yes,No,0,95305,1162,95305,"Big Oak Flat",37.8186,-120.257,167
ALKX-KILBJ,2911-IJORQ,37,0,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"One Year",Yes,"Bank Withdrawal",ALKX-KILBJ,44.52,1647.24,6,Yes,Yes,Yes,90.6,3358.65,8.96,2911-IJORQ,Stayed,No,NULL,NULL,2911-IJORQ,Male,42,No,No,0,95978,1508,95978,"Stirling City",39.904,-121.528,28
ALUP-YAIDG,1480-BKXGA,72,5,Yes,"Fiber Optic",No,Yes,Yes,Yes,Yes,Yes,Yes,"Two Year",Yes,"Bank Withdrawal",ALUP-YAIDG,21.37,1538.64,13,Yes,Yes,Yes,116.05,8404.9,0,1480-BKXGA,Stayed,No,NULL,NULL,1480-BKXGA,Male,75,Yes,Yes,0,92359,460,92359,Mentone,34.1036,-117.041,7324
ALYE-SMSWW,0112-QWPNC,49,1,Yes,Cable,Yes,Yes,Yes,Yes,Yes,No,Yes,"One Year",No,"Bank Withdrawal",ALYE-SMSWW,39.55,1937.95,10,Yes,Yes,Yes,84.35,4059.35,0,0112-QWPNC,Churned,Yes,Competitor,"Competitor offered higher download speeds",0112-QWPNC,Male,61,No,Yes,0,93563,765,93563,Valyermo,34.3958,-117.735,413
AMCQ-AXZBK,1696-HXOWK,71,6,Yes,"Fiber Optic",Yes,Yes,Yes,No,Yes,Yes,No,"One Year",No,"Credit Card",AMCQ-AXZBK,5.22,370.62,10,Yes,No,No,95.65,6856.95,0,1696-HXOWK,Stayed,No,NULL,NULL,1696-HXOWK,Female,53,No,Yes,0,92506,489,92506,Riverside,33.9309,-117.362,42425
AMNQ-VZXKW,0298-XACET,52,1,Yes,DSL,Yes,No,No,Yes,No,Yes,Yes,"Two Year",No,"Credit Card",AMNQ-VZXKW,0,0,17,Yes,No,No,50.2,2554,27.01,0298-XACET,Stayed,No,NULL,NULL,0298-XACET,Male,35,No,Yes,2,95916,1459,95916,"Berry Creek",39.6572,-121.378,1279
ANBP-PAPBC,3658-QQJYD,62,0,Yes,Cable,Yes,Yes,No,No,Yes,Yes,No,"One Year",Yes,"Credit Card",ANBP-PAPBC,38.33,2376.46,30,Yes,Yes,Yes,74.3,4698.05,0,3658-QQJYD,Stayed,No,NULL,NULL,3658-QQJYD,Male,56,No,No,0,90401,102,90401,"Santa Monica",34.0155,-118.493,5221
ANNJ-SSJGO,3097-IDVPU,19,10,Yes,DSL,No,Yes,Yes,No,No,No,No,Month-to-Month,No,"Credit Card",ANNJ-SSJGO,9.47,179.93,13,No,No,No,50.1,910.45,0,3097-IDVPU,Stayed,No,NULL,NULL,3097-IDVPU,Male,51,No,Yes,2,90012,11,90012,"Los Angeles",34.0659,-118.239,30596
ANNT-MTQNL,1905-OEILC,1,0,No,None,No,Yes,No,No,No,No,No,Month-to-Month,No,"Credit Card",ANNT-MTQNL,20.11,20.11,0,No,No,No,19.5,19.5,0,1905-OEILC,Joined,No,NULL,NULL,1905-OEILC,Female,42,No,No,0,93953,853,93953,"Pebble Beach",36.5875,-121.945,4602
AOFG-EHHQC,1193-RTSLK,38,0,Yes,"Fiber Optic",Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,"Credit Card",AOFG-EHHQC,36.18,1374.84,48,No,No,Yes,83.9,3233.6,0,1193-RTSLK,Churned,Yes,Competitor,"Competitor offered higher download speeds",1193-RTSLK,Female,26,No,No,0,96039,1549,96039,"Happy Camp",41.8319,-123.487,1294
AOVW-JVKRU,3556-BVQGL,20,2,No,None,No,Yes,No,No,No,No,No,"One Year",Yes,"Credit Card",AOVW-JVKRU,19.15,383,0,No,No,No,20,416.45,0,3556-BVQGL,Stayed,No,NULL,NULL,3556-BVQGL,Female,21,No,Yes,0,95685,1394,95685,"Sutter Creek",38.4321,-120.771,4610
AOXX-EUBFJ,1397-XKKWR,7,0,Yes,DSL,Yes,No,No,No,Yes,No,Yes,"One Year",No,"Credit Card",AOXX-EUBFJ,0,0,14,No,No,No,35.3,264.8,0,1397-XKKWR,Stayed,No,NULL,NULL,1397-XKKWR,Male,47,No,No,0,95112,1095,95112,"San Jose",37.3438,-121.883,52334
APET-NQRSQ,3957-SQXML,34,10,No,None,No,Yes,Yes,No,No,No,No,"Two Year",No,"Credit Card",APET-NQRSQ,25.21,857.14,0,No,No,No,24.95,894.3,0,3957-SQXML,Stayed,No,NULL,NULL,3957-SQXML,Female,61,No,Yes,0,90068,58,90068,"Los Angeles",34.1374,-118.329,21728
APPT-DCAUM,3468-DRVQJ,10,5,Yes,Cable,Yes,Yes,Yes,No,Yes,Yes,No,"One Year",No,"Bank Withdrawal",APPT-DCAUM,26.37,263.7,26,Yes,No,No,70.3,676.15,0,3468-DRVQJ,Stayed,No,NULL,NULL,3468-DRVQJ,Female,42,No,Yes,1,90031,28,90031,"Los Angeles",34.0858,-118.207,38415
APSJ-BDCBH,3524-WQDSG,43,8,Yes,"Fiber Optic",Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",APSJ-BDCBH,5.25,225.75,59,Yes,Yes,Yes,99.3,4209.95,0,3524-WQDSG,Stayed,No,NULL,NULL,3524-WQDSG,Female,29,No,Yes,2,94925,1030,94925,"Corte Madera",37.924,-122.512,9038
AQCC-MZWIM,2777-PHDEI,1,0,Yes,"Fiber Optic",No,Yes,No,No,No,No,No,Month-to-Month,No,"Bank Withdrawal",AQCC-MZWIM,29.41,29.41,59,Yes,No,Yes,78.05,78.05,0,2777-PHDEI,Churned,Yes,Competitor,"Competitor offered more data",2777-PHDEI,Female,20,No,No,0,93601,767,93601,Ahwahnee,37.3758,-119.74,1968
AQCV-BEDYN,0562-HKHML,71,9,No,None,No,Yes,Yes,No,No,No,No,"Two Year",No,"Credit Card",AQCV-BEDYN,18.99,1348.29,0,No,No,No,23.9,1626.4,0,0562-HKHML,Stayed,No,NULL,NULL,0562-HKHML,Male,39,No,Yes,1,94502,926,94502,Alameda,37.7248,-122.224,13996
AQGH-TIUQR,4293-ETKAP,65,10,Yes,Cable,Yes,Yes,Yes,Yes,No,Yes,No,"Two Year",Yes,"Bank Withdrawal",AQGH-TIUQR,1.83,118.95,13,Yes,Yes,Yes,79.4,5071.9,0,4293-ETKAP,Stayed,No,NULL,NULL,4293-ETKAP,Female,42,No,Yes,1,96117,1602,96117,Litchfield,40.5073,-120.338,385
AQIO-NDEML,1899-VXWXM,48,0,Yes,"Fiber Optic",Yes,Yes,Yes,No,No,Yes,Yes,"One Year",Yes,"Credit Card",AQIO-NDEML,24.73,1187.04,4,Yes,Yes,Yes,106.1,5082.8,0,1899-VXWXM,Churned,Yes,Other,"Don't know",1899-VXWXM,Male,55,No,No,0,92130,377,92130,"San Diego",32.9572,-117.203,28201
AQNS-LVUPF,2439-LYPMQ,38,7,Yes,"Fiber Optic",Yes,Yes,Yes,No,No,Yes,Yes,"Two Year",Yes,"Bank Withdrawal",AQNS-LVUPF,4.75,180.5,24,Yes,Yes,No,102.6,4009.2,45.81,2439-LYPMQ,Stayed,No,NULL,NULL,2439-LYPMQ,Male,79,Yes,Yes,0,96121,1606,96121,Milford,40.1813,-120.393,481
AQQO-QEFLK,3374-PZLXD,34,0,No,None,No,Yes,No,No,No,No,No,Month-to-Month,No,"Credit Card",AQQO-QEFLK,36.52,1241.68,0,No,No,No,19.7,675.6,0,3374-PZLXD,Stayed,No,NULL,NULL,3374-PZLXD,Male,31,No,No,0,96103,1590,96103,"Blairsden Graeagle",39.7837,-120.661,1839
